mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_57,CC(=O)C#N,10.16063,4.15847,3.0056,3.3351,37.08,-0.3007,-0.0889,0.2118,397.7757,0.05451,-246.027383,-246.022024,-246.02108,-246.055769,16.963,-839.4865603,-843.234044,-847.382506,-791.0428655
gdb_58,C(#N)C(=N)N,10.68423,4.3198,3.07993,5.1815,38.31,-0.2739,-0.0438,0.2301,384.5574,0.056619,-242.19573,-242.190591,-242.189646,-242.223513,17.465,-784.2507081,-788.1356163,-792.2834508,-735.0684352
gdb_59,C#CC(=O)N,11.40916,4.14704,3.0415,3.7167,38.29,-0.2629,-0.0277,0.2352,390.4619,0.054731,-245.997884,-245.992256,-245.991312,-246.026404,18.527,-820.9756723,-824.5543561,-828.7028181,-772.6160637
gdb_60,CC(=O)C=O,9.08854,4.42607,3.03169,0.9461,36.51,-0.2538,-0.0964,0.1574,399.222,0.064992,-267.10335,-267.097658,-267.096714,-267.132534,17.806,-899.0848551,-903.5119311,-908.2533891,-844.5085148
gdb_61,C(=O)C(=N)N,10.08927,4.54115,3.13487,2.7707,38.09,-0.2561,-0.064,0.192,384.4827,0.067668,-263.278851,-263.273589,-263.272645,-263.306835,17.972,-848.3382022,-853.0344796,-857.7759376,-792.648661
gdb_62,C(=O)C(=O)N,10.84211,4.27948,3.06837,5.1668,33.39,-0.2533,-0.0763,0.177,381.9882,0.054577,-283.16874,-283.163262,-283.162318,-283.197298,17.525,-791.5134972,-795.1856799,-799.3341419,-742.9217103
gdb_63,CC(C)C#C,7.92874,3.8272,2.82581,0.6578,51.2,-0.2589,0.0571,0.316,481.9854,0.112471,-195.186772,-195.180446,-195.179502,-195.215658,22.569,-1224.099377,-1231.684078,-1238.79752,-1143.106162
gdb_64,CC(C)C#N,7.90009,3.95466,2.88643,3.9512,46.23,-0.318,0.0365,0.3545,460.694,0.102281,-211.295796,-211.289821,-211.288877,-211.324525,20.467,-1143.908746,-1150.824523,-1157.344969,-1069.194387
gdb_65,CC(N)C#N,8.30095,3.97615,2.93764,2.7429,42.87,-0.2704,0.0278,0.2983,440.0738,0.091554,-227.338075,-227.332253,-227.331309,-227.366638,19.946,-1021.835028,-1027.957633,-1033.885083,-953.3938765
gdb_66,CC(O)C#C,8.55919,3.89952,2.91869,1.3582,44.03,-0.2665,0.0336,0.3001,444.6452,0.088908,-231.108368,-231.102292,-231.101348,-231.137061,21.306,-1038.566928,-1044.530774,-1050.458224,-970.5675428
gdb_67,CC(O)C#N,8.55908,4.01671,2.97882,3.269,39.28,-0.3051,0.0115,0.3166,424.3395,0.078602,-247.214861,-247.209162,-247.208218,-247.243338,19.252,-956.7880727,-962.0993088,-967.4337628,-895.0305194
gdb_68,CC(C)C=O,7.66289,3.70925,2.79937,2.6921,46.58,-0.2469,-0.0188,0.2281,482.0475,0.112328,-232.364952,-232.358577,-232.357633,-232.394589,21.434,-1199.233077,-1206.786403,-1213.899845,-1118.455099
gdb_69,CC(O)C=O,8.31096,4.07963,2.92918,2.8354,39.16,-0.255,-0.0279,0.2271,432.1489,0.088443,-268.287661,-268.281505,-268.280561,-268.316982,20.344,-1014.399046,-1020.312064,-1026.239514,-946.5377131
gdb_70,CN(C)C=O,8.9331,4.19405,2.96046,3.7163,44.42,-0.2424,0.0327,0.2751,441.85,0.10227,-248.430371,-248.424309,-248.423365,-248.459383,19.918,-1091.679917,-1098.540473,-1105.060919,-1016.88712
gdb_71,CC(=O)CO,10.13982,3.81346,2.86965,2.9514,39.33,-0.2699,-0.0262,0.2437,440.1727,0.088924,-268.301176,-268.295084,-268.29414,-268.331307,19.824,-1022.879831,-1028.833008,-1034.760458,-955.5267796
gdb_72,CCC(=O)C,9.55216,3.57844,2.7341,2.6168,46.19,-0.2423,-0.0072,0.2351,489.8518,0.112006,-232.377706,-232.371073,-232.370129,-232.408256,21.716,-1207.236327,-1214.627756,-1221.741198,-1127.031264
gdb_73,CCC(=O)N,9.78802,3.78441,2.84416,3.499,42.54,-0.2438,0.0355,0.2793,457.447,0.101847,-248.448467,-248.441988,-248.441044,-248.478935,21.374,-1103.03532,-1109.634205,-1116.154651,-1029.156176
gdb_74,CC(=O)NC,10.01185,3.84195,2.87635,3.5402,43.61,-0.2418,0.0387,0.2805,458.9803,0.101735,-248.443503,-248.436899,-248.435955,-248.474272,20.967,-1099.920366,-1106.440812,-1112.961258,-1026.230101
gdb_75,CNC(=O)N,10.44045,4.04692,2.98547,3.5648,39.51,-0.2436,0.0599,0.3034,428.404,0.091713,-264.504487,-264.498452,-264.497508,-264.533633,20.274,-989.584203,-995.5725214,-1001.499971,-921.2528655
gdb_76,COC(C)=N,9.69683,4.1533,3.01703,1.1876,43.57,-0.2595,0.0352,0.2948,443.1687,0.102062,-248.416462,-248.410358,-248.409414,-248.445651,20.256,-1082.951895,-1089.786095,-1096.306541,-1008.270166
gdb_77,CC(=O)OC,10.20392,4.16834,3.07281,1.7569,39.33,-0.2685,0.0174,0.2859,427.6606,0.089436,-268.32127,-268.315051,-268.314106,-268.351214,19.501,-1035.488996,-1041.362481,-1047.289303,-968.0186012
gdb_78,COC(=O)N,10.68182,4.39532,3.17969,2.329,35.5,-0.2669,0.0575,0.3244,398.5908,0.079271,-284.385189,-284.379361,-284.378417,-284.414085,19.084,-926.9945728,-932.2242329,-937.5586869,-865.2439222
gdb_79,C(C(=O)N)O,10.20696,3.93135,2.9219,4.5676,35.87,-0.246,0.0273,0.2733,418.5967,0.078222,-284.360325,-284.354148,-284.353204,-284.390143,20.089,-911.3921891,-916.4028484,-921.7373024,-850.2201017
gdb_80,[NH3+]CC([O-])=O,10.14389,4.0714,3.02223,5.3004,35.19,-0.2527,0.0208,0.2735,408.0279,0.080317,-284.372483,-284.367172,-284.366228,-284.40095,17.931,-919.0214435,-924.5755257,-929.9099797,-857.0015915
gdb_81,CC(C)CO,7.57282,3.5255,2.65861,1.3149,49.26,-0.2629,0.0789,0.3418,516.4357,0.136209,-233.551389,-233.544542,-233.543598,-233.581067,23.924,-1315.881353,-1324.9156,-1333.215034,-1221.75814
gdb_82,CC(O)CO,6.6508,4.19317,3.39441,2.2854,42.01,-0.2597,0.0631,0.3228,438.3028,0.11345,-269.479234,-269.472993,-269.472049,-269.508213,22.072,-1134.270208,-1141.906993,-1149.020435,-1052.823305
gdb_83,CCC(C)C,7.26511,3.32874,2.54491,0.0618,56.26,-0.3085,0.085,0.3934,565.8412,0.159632,-197.629387,-197.622325,-197.621381,-197.659365,25.169,-1501.159033,-1511.836098,-1521.321524,-1394.109135
gdb_84,CCC(C)O,8.11598,3.43678,2.66869,1.3894,49.45,-0.2617,0.0733,0.335,521.8605,0.136091,-233.555951,-233.549143,-233.548199,-233.585602,23.99,-1318.744049,-1327.802769,-1336.102203,-1224.603894
gdb_85,CC(C)OC,7.55335,3.78323,2.80566,1.0758,49.8,-0.2476,0.086,0.3336,507.9614,0.135681,-233.545899,-233.539034,-233.53809,-233.57582,23.573,-1312.436329,-1321.45928,-1329.758714,-1218.465601
gdb_86,CC1(CC1)C,6.14183,5.17679,3.79297,0.1068,52.92,-0.2633,0.0893,0.3526,439.1643,0.137025,-196.409349,-196.403398,-196.402453,-196.437676,22.258,-1363.425827,-1373.02295,-1381.321757,-1268.710874
gdb_87,CC1(CO1)C,6.49534,5.52329,3.9108,1.8235,45.7,-0.2596,0.091,0.3505,405.521,0.112851,-232.335768,-232.329981,-232.329037,-232.364091,20.719,-1180.919855,-1188.842156,-1195.955598,-1099.317329
gdb_88,CC1(CC1)O,6.57648,5.31603,3.98453,1.3822,45.85,-0.2494,0.0776,0.327,401.4888,0.113237,-232.33341,-232.327734,-232.32679,-232.36147,21.17,-1179.440189,-1187.432143,-1194.545585,-1097.672628
gdb_89,N=C1CCO1,12.18399,5.1384,3.78868,2.5732,40.19,-0.263,0.0277,0.2907,352.0378,0.080558,-247.201165,-247.196699,-247.195755,-247.22841,15.51,-948.1937094,-954.2786642,-959.6131182,-885.6630651
gdb_90,C1CC(=O)C1,10.79571,4.78732,3.54292,2.7119,42.77,-0.2415,-0.0194,0.2222,379.6371,0.090544,-231.15578,-231.150804,-231.149859,-231.184401,17.076,-1068.318385,-1074.97249,-1080.899313,-1000.273819
gdb_91,C1CNC1=O,12.23436,4.97895,3.70561,3.6671,39.73,-0.25,0.038,0.288,355.0934,0.080442,-247.225618,-247.220897,-247.219953,-247.253218,16.1,-963.538187,-969.463127,-974.797581,-901.2303083
gdb_92,C1COC1=O,12.44643,5.23328,3.86599,3.9339,35.4,-0.2788,0.0089,0.2878,336.0792,0.068574,-267.106213,-267.101929,-267.100985,-267.13332,14.483,-900.8814133,-906.192022,-910.93348,-845.0017369
gdb_93,C1C(=O)CN1,11.54185,4.90368,3.63309,2.5257,39.34,-0.2437,-0.0258,0.2179,359.152,0.07965,-247.190194,-247.185543,-247.184599,-247.217688,16.083,-941.3093082,-947.2781738,-952.6126278,-878.9349136
gdb_94,C1C(=O)CO1,12.18264,4.94228,3.68162,0.8477,35.94,-0.2647,-0.0352,0.2295,344.5473,0.066989,-267.068488,-267.063976,-267.063032,-267.095887,15.115,-877.2086363,-882.3761729,-887.1176309,-821.5121925
gdb_95,CC1CCC1,9.63416,4.10254,3.28665,0.095,52.94,-0.2896,0.0927,0.3823,455.0215,0.138424,-196.407957,-196.40245,-196.401505,-196.436159,20.299,-1362.552335,-1372.428071,-1380.726878,-1267.758943
gdb_96,CC1CCO1,9.93129,4.56362,3.63704,1.6826,45.72,-0.241,0.0915,0.3325,407.6909,0.11459,-232.33123,-232.325877,-232.324933,-232.359589,18.582,-1178.072219,-1186.266859,-1193.380301,-1096.492284
gdb_97,CC1COC1,10.13697,4.32512,3.50912,1.8995,45.45,-0.2419,0.0814,0.3233,414.1575,0.114694,-232.325947,-232.320548,-232.319604,-232.354576,18.443,-1174.757089,-1182.922863,-1190.036306,-1093.346581
gdb_98,C1CC(C1)O,10.09703,4.26865,3.40487,1.4604,45.55,-0.256,0.0801,0.3361,413.9118,0.115063,-232.333258,-232.328097,-232.327153,-232.361103,19.023,-1179.344807,-1187.659929,-1194.773371,-1097.442332
gdb_99,C1C(CO1)O,10.85394,4.52867,3.62328,2.4158,38.58,-0.2465,0.0604,0.3069,374.4087,0.091005,-268.248371,-268.243234,-268.24229,-268.276572,17.344,-989.7442178,-996.2966668,-1002.224117,-921.1800745
gdb_100,CC1CC1C,7.14221,4.37083,3.30265,0.1023,52.92,-0.2632,0.094,0.3573,465.3301,0.137341,-196.406419,-196.40034,-196.399396,-196.435152,22.005,-1361.587226,-1371.104027,-1379.403461,-1267.127041
gdb_101,CC1CC1O,7.36997,4.78662,3.53123,1.3092,45.84,-0.2518,0.0822,0.334,418.298,0.113827,-232.32907,-232.323327,-232.322383,-232.357426,20.702,-1176.716799,-1184.666711,-1191.780153,-1095.134982
gdb_102,CC1CN1C,7.53724,4.74514,3.54049,1.2483,49.79,-0.2199,0.0931,0.313,432.5081,0.125556,-212.438188,-212.432286,-212.431342,-212.466725,20.993,-1232.918388,-1241.657078,-1249.363516,-1144.712585
gdb_103,CC1OC1C,8.15202,4.38313,3.43318,1.8159,46.02,-0.2573,0.0984,0.3557,432.2224,0.113178,-232.334436,-232.32857,-232.327626,-232.363064,20.451,-1180.084013,-1187.956741,-1195.070183,-1098.672878
gdb_104,OC1CC1O,7.51163,5.3853,3.80314,2.4925,38.43,-0.2369,0.0642,0.3011,370.2795,0.090396,-268.251114,-268.245852,-268.244908,-268.278934,19.173,-991.465475,-997.9394854,-1003.866935,-922.6622507
gdb_105,C1C2CC1C2,7.20812,7.20681,6.22176,0.0002,49.82,-0.2974,0.1082,0.4056,328.2069,0.116844,-195.158734,-195.154774,-195.15383,-195.185188,15.584,-1206.505279,-1215.574667,-1222.688109,-1123.985963
gdb_106,C1C2CC1O2,7.76429,7.54763,6.46247,1.8725,42.39,-0.2352,0.0994,0.3346,298.4772,0.092109,-231.069318,-231.065445,-231.064501,-231.095721,14.648,-1014.062702,-1021.408949,-1027.336399,-944.6263207
gdb_107,C#CCC#C,19.32586,2.84998,2.52198,0.4777,45.22,-0.2633,0.0345,0.2978,470.3666,0.065276,-192.736096,-192.730524,-192.72958,-192.764175,19.399,-941.9813703,-946.4850024,-951.2264604,-887.2236799
gdb_108,C#CCC#N,20.01906,2.89728,2.57099,3.5925,40.56,-0.2911,0.0111,0.3022,448.7393,0.05503,-208.842347,-208.837159,-208.836215,-208.87023,17.258,-860.0506577,-863.906073,-868.054535,-811.5473496
gdb_109,C(C#N)C#N,21.0592,2.92609,2.61064,3.6958,36.12,-0.3494,-0.0151,0.3344,429.0927,0.044642,-224.94466,-224.939832,-224.938888,-224.972334,15.259,-775.6488147,-778.840953,-782.396419,-733.3917311
gdb_110,C#CCC=O,24.42532,2.5579,2.40769,2.0711,41.41,-0.2583,-0.0337,0.2245,483.1343,0.065029,-229.918003,-229.912379,-229.911435,-229.946855,18.303,-919.4537972,-923.9241713,-928.6656293,-864.9251476
gdb_111,C(C=O)C#N,26.22693,2.56863,2.42417,2.172,36.79,-0.2868,-0.0568,0.23,464.3999,0.054694,-246.023231,-246.017964,-246.017019,-246.051902,16.279,-836.8811429,-840.6863575,-844.834192,-788.6162882
gdb_112,C(=N)NC=O,11.16406,4.28269,3.09529,5.0884,38.8,-0.2491,-0.0216,0.2276,391.0845,0.068192,-263.280728,-263.275534,-263.27459,-263.308973,16.694,-849.5160366,-854.2549846,-858.9964426,-793.9902752
gdb_113,N=COC=O,46.2984,2.58674,2.44986,4.2338,35.69,-0.2934,-0.0298,0.2636,460.7073,0.055229,-283.156647,-283.151564,-283.15062,-283.184645,15.704,-783.9250309,-787.8450796,-791.9935416,-734.9818389
gdb_114,C(=O)NC=O,11.40917,4.38216,3.16609,5.2904,34.31,-0.2608,-0.0416,0.2191,372.7845,0.055704,-283.179781,-283.17476,-283.173816,-283.207861,15.692,-798.4418241,-802.4007784,-806.5492404,-749.5500879
gdb_115,CC#CC#C,160.02654,2.04896,2.04896,1.1881,54.54,-0.242,-0.0085,0.2335,576.5936,0.065688,-192.762455,-192.756657,-192.755713,-192.790147,19.382,-958.52188,-962.8836951,-967.6251531,-903.5213437
gdb_116,CC#CC#N,159.56146,2.07623,2.07623,5.1545,47.82,-0.2871,-0.0377,0.2494,553.2094,0.055566,-208.863267,-208.85788,-208.856936,-208.890804,17.054,-873.178146,-876.908687,-881.057149,-824.4577197
